Priority,Short Description
P4,Create NS_THEME_BUTTON by utilizing NSCell.
P4,Create NSCell that resembles a button with a NS_THEME_BUTTON design.
P4,Create NS_THEME_BUTTON using NSCell
P4,Create NS_CELL using NS_THEME_BUTTON.
P4,"When checking the Print Preview of a border-collapsing table with a header, the horizontal borders appear to be absent."
P4,The Print Preview display does not show horizontal borders in a border-collapsing table that contains a header.
P4,"The border-line between columns is absent in a table that has border-collapsing, along with a header, when viewed in Print Preview."
P4,Missing horizontal boundaries in a table where borders are collapsed and there is a header when viewed in Print Preview.
P4,The Print Preview does not display horizontal borders in a border-collapsing table with a header.
P4,The Print Preview feature does not display horizontal borders in border-collapsing tables with headers.
P3,Excessive empty spaces appearing on news.bbc.co.uk when text exceeds the width of its container.
P3,Extra empty spaces appearing on news.bbc.co.uk website when text width matches that of its container.
P3,"If the page is scrolled, the image resizers are not properly placed."
P3,"When the page is scrolled, the image resizers are incorrectly placed."
P3,The resizer located in the bottom right corner has malfunctioned on Linux.
P3,The bottom right resizer is not functioning properly on Linux.
P4,The presence of bug 404380 is resulting in blank newsgroup/feed messages in Thunderbird's virtual buffer.
P4,The virtual buffer in Thunderbird presents blank messages for newsgroups and feeds due to bug 404380.'
P4,"Thunderbird is experiencing an issue, identified as bug 404380, which is causing newsgroup and feed messages to appear empty in the virtual buffer."
P4,Bug 404380 is the cause of virtual buffer displaying blank newsgroup and feed messages in Thunderbird.
P4,"Thunderbird is experiencing a problem with displaying blank newsfeed and newsgroup messages in its virtual buffer, which is being caused by bug number 404380."
P4,The bug with ID 404380 is causing the virtual buffer to display empty messages in Thunderbird for newsgroups and feeds.
P4,"The evaluation of the function x() within a function that has an argument ""x"" and a ""let x"" statement will overwrite the incorrect x."
P4,"When assessing the function x() within a function that contains the arguments ""x"" and ""let x"", the incorrect ""x"" is replaced."
P4,"Evaluating the function x() within a function that has arguments ""x"" and ""let x"" will overwrite the incorrect ""x""."
P4,"The assessment of the function x() within a function that takes in parameters ""x"" and ""let x"" results in the incorrect x being replaced."
P4,"Assessing the performance of function x() within a function containing the parameters ""x"" and ""let x"" results in the incorrect x being overwritten."
P4,"The assessment of function x() in a function containing the parameters ""x"" and ""let x"" results in the incorrect x being replaced."
P4,A decrease in performance of 131% has been observed on Mac PPC systems in Cairo when scrolling through pages containing extensive background images.
P4,[Cairo][Mac PPC] Performance decreased by 131% while scrolling through pages containing large background images.
P4,"When scrolling through pages with large background images, there was a significant performance decrease of 131% on a Mac computer with PPC architecture in Cairo."
P4,[A performance regression of 131% was observed on Mac PPC devices in Cairo] while navigating through pages containing large background images.
P4,"In Cairo and on Mac PPC, there has been a significant 131% decrease in performance while scrolling through pages containing sizable background images."
P4,[Performance drop of 131% observed in Cairo and Mac PPC systems] while scrolling through pages containing sizable background visuals.
P3,The way Alt/Ctrl+Arrow selection (choosing by word) works has worsened.
P3,The behavior of selecting words using Alt/Ctrl+Arrow has declined.
P4,Prematurely dismantling rt->unitStrings results in incorrect release at a later time.
P4,Removing rt->unitStrings prematurely results in a later improper release.
P4,Prematurely removing rt->unitStrings can result in incorrect freeing at a later time.
P4,"If rt->unitStrings is dismantled prematurely, it could result in incorrect release at a later time."
P4,Releasing rt->unitStrings prematurely results in inaccurate disposal at a later time.
P4,Removing rt->unitStrings prematurely results in incorrect release at a later time.
P3,The underline for both link and text decoration appear too elevated for CJK characters.
P3,The underline for links and text decorations are excessively elevated for CJK characters.
P3,The value of Canvas miterLimit is not considered for corners that are aligned with the axis.
P3,Axis-aligned corners do not take into account the miterLimit set on canvas.'
P3,The table format varies greatly between FF2 and the trunk version.
P3,The table design significantly varies between FF2 and trunk.
P3,Incorrect HTML window size results in dark sections in the window display.
P3,Incorrect dimensions of the HTML window can result in dark regions appearing in the window display.
P3,Excessive utilization of CPU resources on a website containing numerous embedded YouTube videos.
P3,Excessive CPU utilization on a webpage containing numerous incorporated YouTube videos
P3,"Following an unsuccessful drag-and-drop process, several folders or bookmarks may be selected in the Organizer."
P3,"An attempt to drag and drop has resulted in failure, prompting the highlighting of several folders or bookmarks in the Organizer."
P3,"""Expose nsGenericElement and additional elements through the use of execCommand(""insertimage"", ...)"""
P3,"Possible rephrasing: ""Expose nsGenericElement and additional elements through the use of execCommand(""insertimage"", ...)"""
P3,"""[RESOLVE] Is the assertion 'SetMayHaveFrame failed?' related to XBL?"""
P3,"The issue of ""ASSERTION: SetMayHaveFrame failed?"" related to XBL needs to be addressed."
P4,"The excessive recursion in js_DecompileValueGenerator with watch, setter, delete, and generator resulted in a crash."
P4,"The crash occurred as a result of excessive recursion in js_DecompileValueGenerator while using watch, setter, delete, and generator functions."
P4,"The reason for the crash is excessive recursion in the function js_DecompileValueGenerator, which involves using a watch function, setter, delete operation, and generator."
P4,"The crash occurred because of an excessive amount of recursion in the js_DecompileValueGenerator function, involving a combination of watch, setter, delete, and generator components."
P4,"The crash occurred because of excessive recursion in the function js_DecompileValueGenerator, which involved the use of watch, setter, delete, and generator."
P4,"The crash occurred as a result of excessive recursion in the js_DecompileValueGenerator function involving watch, setter, delete, and generator operations."
P3,Pop-up that has left and top assigned values has the ability to expand beyond the content region.
P3,A pop-up that contains left and top properties has the potential to grow beyond the confines of the content area.
P3,"The naming of nsIDOMFileList is not uniform - for instance, it is sometimes referred to as fileList and other times as files."
P3,The labeling used for nsIDOMFileList is inconsistent - sometimes referred to as fileList and other times as files.
P3,We frequently reallocate arenas in context->stackPool unnecessarily.
P3,We often make excessive changes to the placement of arenas in our context's stack pool.
P3,encounter malfunctioning in the designated function called 'SetupCairoFont' within the graphics-related component 'gfxAtsuiFont'.
P3,Collide at the location of setup for Cairo font in graphics Atsui font section.
P3,"An error occurs when attempting to close a browser tab, and while it cannot be reproduced consistently, a mini dump is provided as evidence. This issue appears to be related to the nsXULPopupManager and its handling of keyboard navigation."
P3,"When a TAB is closed, there might be an unexpected crash (not consistently occurring, but a mini dump is provided) linked to nsXULPopupManager's handling of keyboard navigation."
P3,Inconsistent width of borders on printed tables when border-collapse is applied.
P3,The width of the borders of a printed table can vary randomly when using the border-collapse feature.
P3,Printing certain types of PNGs can result in distorted images.
P3,Some versions of png files may appear distorted when printed.
P4,"It should raise an error if a null frame is detected, specifically with the use of the functions ""@ IsPercentageAware"" and "":first-letter, moz-column""
The statement ""null frame is not acceptable"" should cause an abort if detected while utilzing ""@ IsPercentageAware"" and "":first-letter, moz-column"" functions."
P4,"""'ASSERT:' A null frame is prohibited and will result in [@ IsPercentageAware] being terminated, specifically with the :first-letter, moz-column properties."""
P4,"""Null frames are prohibited, stated as an assertion, and if used with :first-letter or moz-column, will cause an abort [@ IsPercentageAware]."""
P4,"It is stated that having a null frame is prohibited, and the program will terminate with an error related to percentage awareness when using the properties :first-letter and moz-column."
P4,"""Null frames are prohibited according to the assertion, and [@ IsPercentageAware] aborts when using ':first-letter' and 'moz-column'. """
P4,"The statement ""ASSERTION: an empty frame is prohibited"" and termination [@ IsPercentageAware] using :first-letter, moz-column."
P3,The previous page is adjusted in size when transitioning to a different page.
P3,"When navigating to a different page, the previous page's size is adjusted."
P3,"Take out the phrase ""this gun is loaded"" from the about:config caution."
P3,"Omit the phrase ""this gun is loaded"" from the about:config warning."
P3,"Using an empty filter, the speed of SVG painting is considerably slower compared to having no filter present at all."
P3,SVG artwork experiences a notable decrease in speed when an empty filter is applied compared to having no filter applied.
P3,The timer for the script is not reset when the event callbacks from Microsoft Silverlight plug-in are triggered in Javascript.
P3,"When the Microsoft Silverlight plug-in triggers event callbacks to Javascript, the script timer is not reset."
P3,"""This statement indicates the formation of a ContinuingTextFrame, despite the absence of any additional material, using -moz-column and rtl."""
P3,"""STATEMENT: While employing -moz-column and rtl, a ContinuingTextFrame is being generated, however, there is no further content available."""
P3,Modifying Zapfino text on a Windows system causes visual imperfections.
P3,Making changes to Zapfino font on a Windows system results in visual distortions.
P4,"The process of adding an exception does not work for certificates that do not have any domain names listed, including no common name and no subject alternative names."
P4,"The process of adding an exception does not work for certificates that do not have any DNS names listed, including both a common name (CN) and a subject alternative name (SAN)."
P4,"The process of adding an exception is unsuccessful for certificates that do not have any Domain Name System (DNS) names included, meaning no Common Name (CN) or Subject Alternative Name (SAN) is present."
P4,"The process of Add Exception is unsuccessful for certificates lacking DNS names, including those without a common name or a subject alternative name."
P4,The inclusion of certs without any DNS names (without a Common Name or Subject Alternative Name) causes the Add Exception feature to malfunction.
P4,"Unable to accommodate certificates without DNS names, the function 'Add Exception' is unsuccessful in cases where there is no Common Name (CN) or Subject Alternative Names (SAN)."
P3,The printing function for FireFox 3.0 plugin on Windows appears to be malfunctioning.
P3,The FireFox 3.0 plugin for printing on Windows appears to be malfunctioning.
P3,The abort method of xmlhttprequest alters the readystate to 4.
P3,The abort method of xmlhttprequest modifies the readystate to 4.
P3,The screen width is being inaccurately reported when a new tab or window is opened.
P3,The screen width is being reported incorrectly when a new tab or window is opened.
P3,"Whenever possible, refrain from using nsCOMPtr's and certain code within the nsDocument::FlushPendingNotifications() function."
P3,"When feasible, refrain from using nsCOMPtr's and particular sections of code in nsDocument::FlushPendingNotifications()."
P3,E4X: flawed ([e4x.@x]).toSource()
P3,E4X: wrong syntax ([e4x.@x]).toSource()
P3,Ensure that NS_ReadLine() accurately reports available data even in cases where the stream is terminated with \r\n.
P3,Change NS_ReadLine() to accurately indicate the end of data when a stream ends with \r\n
P5,"There may be a problem with certain pages causing a crash at nsHTMLTableAccessible::GetRowAtIndex(int, int*) when Orca is running."
P5,"""Occasional crashes occur when Orca is active, particularly when navigating through specific pages, within the function nsHTMLTableAccessible::GetRowAtIndex."""
P5,"The occurrence of a crash in nsHTMLTableAccessible::GetRowAtIndex(int, int*) is possible on specific pages when Orca is in operation."
P5,"""Orca's operation may lead to a crash in nsHTMLTableAccessible's GetRowAtIndex method when encountering specific pages."""
P5,"An error occurs at nsHTMLTableAccessible::GetRowAtIndex(int, int*) when Orca is in use on specific pages."
P5,"""Encounter error at nsHTMLTableAccessible::GetRowAtIndex(int, int*) in the presence of Orca with specific web pages."""
P5,"An error occurs at nsHTMLTableAccessible::GetRowAtIndex(int, int*) when Orca is functioning with specific webpages'"
P5,The occurrence of a crash in the nsHTMLTableAccessible::GetRowAtIndex method can be observed on specific pages when Orca is active.
P5,"A crash may occur in nsHTMLTableAccessible::GetRowAtIndex(int, int*) when Orca is active while navigating specific web pages."
P5,There is a potential for a crash to occur in conjunction with Orca when attempting to retrieve a row at a specific index within nsHTMLTableAccessible while handling certain pages.
P5,"If Orca is in use, there may be pages where a crash occurs at the function nsHTMLTableAccessible::GetRowAtIndex with specific indexes."
P5,The occurrence of Orca being active may cause specific webpages to result in a crash at the nsHTMLTableAccessible's GetRowAtIndex function.
P5,"If Orca is active, there may be pages where a crash occurs in the function 'GetRowAtIndex' of 'nsHTMLTableAccessible' when given certain parameters."
P5,"Encounter a crash in nsHTMLTableAccessible::GetRowAtIndex(int, int*) while Orca is active on specific pages.'"
P5,"An issue may occur with specific pages when Orca is active, leading to a crash at nsHTMLTableAccessible::GetRowAtIndex(int, int*)."
P5,"If Orca is active, there may be crashes on specific pages when using the GetRowAtIndex function in nsHTMLTableAccessible with certain parameters."
P5,"There may be instances where Orca's presence causes a crash at nsHTMLTableAccessible::GetRowAtIndex(int, int*) on specific pages."
P5,"Encounter a crash at nsHTMLTableAccessible::GetRowAtIndex(int, int*) while using specific pages while Orca is active'"
P5,"If Orca is active, some pages may cause a crash in the function nsHTMLTableAccessible::GetRowAtIndex."
P5,"If Orca is being utilized, specific pages may result in a malfunction at nsHTMLTableAccessible::GetRowAtIndex."
P5,"Modify our nsHTMLAccessibleTable class in order for GetIndexAt, GetRowAtIndex, and GetColumnAtIndex to function consistently."
P5,"Revise our nsHTMLAccessibleTable class in a way that will ensure consistent behavior from GetIndexAt, GetRowAtIndex, and GetColumnAtIndex methods.'"
P5,"Improve the functionality of our nsHTMLAccessibleTable class by ensuring that GetIndexAt, GetRowAtIndex, and GetColumnAtIndex function consistently."
P5,"Revamp our nsHTMLAccessibleTable class to ensure that GetIndexAt, GetRowAtIndex, and GetColumnAtIndex functions are coherent in their behaviour.'"
P5,"Improve the behavior of our nsHTMLAccessibleTable class by ensuring that GetIndexAt, GetRowAtIndex, and GetColumnAtIndex function consistently."
P5,"Revise our nsHTMLAccessibleTable class to ensure consistency in the behavior of GetIndexAt, GetRowAtIndex, and GetColumnAtIndex functions.'"
P5,"Repair our nsHTMLAccessibleTable class to ensure that the functions GetIndexAt, GetRowAtIndex, and GetColumnAtIndex have a uniform behavior."
P5,"Modify the nsHTMLAccessibleTable class to ensure that there is uniformity in the behavior of functions such as GetIndexAt, GetRowAtIndex, and GetColumnAtIndex."
P5,"Improve the functionality of our nsHTMLAccessibleTable class by making sure that GetIndexAt, GetRowAtIndex, and GetColumnAtIndex are all behaving consistently."
P5,"Improve our nsHTMLAccessibleTable class by ensuring consistent behavior of GetIndexAt, GetRowAtIndex, and GetColumnAtIndex functions."
P5,"Improve the consistency of GetIndexAt, GetRowAtIndex, and GetColumnAtIndex in our nsHTMLAccessibleTable class."
P5,"Modify the behavior of our nsHTMLAccessibleTable class to ensure consistent functionality between GetIndexAt, GetRowAtIndex, and GetColumnAtIndex."
P5,"""We need to improve the functioning of our nsHTMLAccessibleTable class to ensure uniform performance of GetIndexAt, GetRowAtIndex, and GetColumnAtIndex."""
P5,"Revise our nsHTMLAccessibleTable class to ensure uniform behavior of GetIndexAt, GetRowAtIndex, and GetColumnAtIndex.'"
P5,"Revise the nsHTMLAccessibleTable class in order for the functions GetIndexAt, GetRowAtIndex, and GetColumnAtIndex to demonstrate consistent behavior."
P5,"Revamp our nsHTMLAccessibleTable class to ensure uniform behavior in methods such as GetIndexAt, GetRowAtIndex, and GetColumnAtIndex."
P5,"Please rectify our nsHTMLAccessibleTable class to ensure that the functions GetIndexAt, GetRowAtIndex, and GetColumnAtIndex function in a consistent manner."
P5,"We need to improve the behavior of our nsHTMLAccessibleTable class by ensuring that GetIndexAt, GetRowAtIndex, and GetColumnAtIndex functions are consistent with each other."
P5,"Please correct our nsHTMLAccessibleTable class to ensure that the functions GetIndexAt, GetRowAtIndex, and GetColumnAtIndex are consistent in their behavior."
P5,"In order to ensure consistency, it is necessary to make adjustments to our nsHTMLAccessibleTable class so that the functions GetIndexAt, GetRowAtIndex, and GetColumnAtIndex function uniformly."
P3,The saving of a file is not being hindered by DM's lack of write buffering.
P3,The saving process of a file is not being delayed by DM's lack of write buffering.
P3,Enabling the Flashgot Extension exposes an nsGlobalWindow and other information.'
P3,The installation of the Flashgot Extension exposes a nsGlobalWindow and other information.
P3,"In FF3.0b2, there has been a regression where links can no longer capture click events when covered by transparent ancestor elements."
P3,"In FF3.0b2, there is a regression issue where links cannot capture click events if there are transparent ancestor elements."
P3,"""Restore the IPv6 function on Mac OS"""
P3,Reactivate the use of IPv6 on Mac OS.
P3,Resolve any lingering performance regression from bug 294800.
P3,Improve or counteract the existing decrease in performance caused by bug 294800.
P3,CLAIM: Equality hook has identified presence of an internal window!
P3,CLAIM: An Equality hook has identified an internal window presence.
P3,The nsGlobalWindows leak can occur when using the NoScript Extension on Firefox.
P3,The NoScript Extension on Firefox is revealing nsGlobalWindows.
P3,"The issue of bug 371360 has been resolved, however, the fix has caused problems for websites utilizing the onunload function to hide form submissions.'"
P3,The resolution for issue 371360 resulted in disruptions for websites utilizing onunload to conceal form submissions.'
P3,"The functions getBoundingClientRect/getClientRects do not handle block-in-inline ""special siblings""."
P3,"The functions getBoundingClientRect and getClientRects do not handle ""special siblings"" within block-in-inline elements."
P3,The limit for DOM storage should not include domains permitted for offline applications.
P3,The allowed domains for offline applications should be excluded from the DOM storage quota.
P3,The nsIProtectedAuthThread does not cater well to embedding.
P3,The nsIProtectedAuthThread is not suitable for embedding.
P3,Is it possible to obtain globalStorage objects for incomplete IP addresses?
P3,Is it possible to obtain globalStorage objects for incomplete IP addresses?'
P3,"An error occurred while setting the orientation type on an svg:marker object, causing a crash in nsSVGEnum::SetBaseValue."
P3,"""Unexpected issue occurred when attempting to adjust orientType for <svg:marker> in <nsSVGEnum::SetBaseValue> function."""
P3,"The unexpected frame type error occurs when using technologies such as -moz-column, float, or svg."
P3,"""ANOMALY: unanticipated frame style"" involving -moz-column, floating, and svg elements."
P3,"Every time the shutdown occurs, DEBUG_CC produces more than one megabyte of messages such as ""was not collected""."
P3,"DEBUG_CC produces more than one megabyte of ""not collected"" messages (etc) during each shutdown'"
P3,"The XSLTProcessor is associated with a glibc issue, where a double free or corruption (fasttop) has been detected."
P3,A double free or corruption issue with fasttop was detected in the XSLTProcessor related glibc.
P4,The [mac] Latin font is incorrect and appears in bold when certain Hebrew characters are used.
P4,The Latin font appears incorrect or bold after a specific Hebrew character on [mac].
P4,The Latin font is wrong or bold after a specific Hebrew character on the [Mac] system.
P4,The Latin font becomes incorrect and bold after a specific Hebrew character in [mac].
P4,The Latin font appears incorrect and bold following a specific Hebrew character on Mac.
P4,"After a specific Hebrew character, the Latin font on [mac] appears wrong and bold."
P4,Issue in reading the CMAP in the function gfxFontUtils::ReadCMAP caused a system crash.
P4,Error in reading character mapping in graphics font utility.
P4,Error in reading CMAP function within gfxFontUtils'
P4,error in decoding of CMAP within gfxFontUtils::ReadCMAP function'
P4,Breakdown in gfxFontUtils::ReadCMAP'
P4,collision within gfxFontUtils::ReadCMAP'
P3,Enhance font matching efficiency on Mac operating system.
P3,Enhance the font matching efficiency for Mac operating systems.
P4,Encounter a malfunction in the testing of character map within the gfxAtsuiFont component.
P4,The error occurred in gfxAtsuiFont::TestCharacterMap.
P4,"The occurrence of a malfunction in the function ""gfxAtsuiFont::TestCharacterMap""."
P4,failure in testing the character map for gfxAtsuiFont'
P4,GfxAtsuiFont::TestCharacterMap experienced a sudden malfunction.
P4,There was an unexpected malfunction in gfxAtsuiFont::TestCharacterMap.
P3,The crash occurs when looking through Your Account on klm.com [@ nsRefPtr<nsListEventListener>::assign_assuming_AddRef].
P3,"There was an incident of a malfunction occurring while navigating through Your Account on klm.com, specifically relating to nsRefPtr<nsListEventListener>::assign_assuming_AddRef."
P3,The drawWindow function causes a crash.
P3,The drawWindow function results in a system malfunction.
P3,Lack of uniformity in font name matching between platforms and in comparison to Safari and Opera.
P3,Incompatibility in the matching of font names between platforms and when comparing to Safari and Opera.
P4,The buttons have clipped rings that emphasize the aqua color.
P4,The buttons have clipped aqua focus rings.
P4,The water-targeting circles on the buttons have been clipped.
P4,The water concentration circles encircling the buttons have been shortened.
P4,The aqua focus rings surrounding the buttons have been trimmed.
P4,Clipped aqua focus rings have been applied to the buttons.
P3,The mouse pointer alters in response to a recently minimized window.
P3,The mouse cursor adjusts based on the recently minimized window.
P3,"""STATEMENT: comparing iterators of varying lists"" and ""STATEMENT: exceeding end"" using inline-block alongside text wrapping in -moz-column."""
P3,Comparing iterators from separate lists and exceeding the end while using -moz-column to wrap text inline-block next to it.
P3,The resolution of the Bidi results in the replication of background images.
P3,The resolution of Bidi results in the reproduction of backdrop visuals.
P5,Protected programming cannot stop the file-picker from appearing on the <INPUT TYPE=FILE> element.'
P5,The code with privileges cannot stop the file picker from appearing when using <INPUT TYPE=FILE>.
P5,"""Code with special privileges is unable to stop the file-picker from appearing when using the <INPUT TYPE=FILE> feature."""
P5,Protected code is unable to stop the appearance of the file picker when using <INPUT TYPE=FILE>.
P5,"""Protected code is unable to stop the file-picker from appearing when using the <INPUT TYPE=FILE> function."""
P5,Code with special access cannot stop the file-selection prompt from appearing in a file input.
P5,Protected code cannot disable the display of the file picker in <INPUT TYPE = FILE>.
P5,Code with special access cannot stop the file selection menu from appearing when <INPUT TYPE=FILE> is used.
P5,Protected code is incapable of stopping the file-picker from appearing in the <INPUT TYPE=FILE> field.
P5,Protected code is unable to stop the file-picker from appearing when using <INPUT TYPE=FILE>.
P5,The code with elevated privileges is unable to stop the file-picker from appearing when using <INPUT TYPE=FILE>.
P5,Protected code is incapable of blocking the display of the file-picker on <INPUT TYPE=FILE>.
P5,Exclusive computer instructions are unable to stop the file-picker from appearing on the <INPUT TYPE=FILE> element.'
P5,Code with special privileges cannot stop the file-picker from appearing when using the '<INPUT TYPE=FILE>' command.
P5,Specialized programming cannot stop the display of the file selection feature in <INPUT TYPE=FILE>.
P5,Special code has no capability to stop the file-picker from appearing on the <INPUT TYPE=FILE> element.'
P5,Code with special access cannot stop a file selection window from appearing when an <INPUT TYPE=FILE> is used.
P5,The execution of special code is unable to block the display of the file picker for <INPUT TYPE=FILE>.
P5,Specialized code is unable to prohibit the file selection window from appearing when using the <INPUT TYPE=FILE> command.
P5,Protected code is unable to stop the file selection window from appearing when using <INPUT TYPE=FILE>.
P3,Create an instance of gfxContext (and related objects) in the /widget/ directory instead of dynamically allocating memory.
P3,Create a stack memory allocation for gfxContext and related components in the /widget/ directory.
P3,"The crash is a result of an error in the function nsInlineFrame::ReflowFrames, specifically related to the use of ::first-letter in combination with float, binding, and pre.'"
P3,"Encounter an error [@ nsInlineFrame::ReflowFrames] involving the ::first-letter float property, binding, pre format, and //."
P3,"When loading information for a blade enclosure, HP's OA experiences a crash at [@js_FinalizeObject][@ RtlpDeCommitFreeBlock]."
P3,"A crash occurred in HP's OA while loading info for the blade enclosure, specifically at the [@js_FinalizeObject][@ RtlpDeCommitFreeBlock] stage."
P3,Operators that are not stretchy or centered do not work when scrolling with Cambria Math font.
P3,Operators that are not flexible or centered do not track while scrolling when using Cambria Math.'
P4,[mac] Irregular selection of typeface for specific characters
P4,Ununiformed selection of font for specific characters on [mac] operating system.
P4,[mac] Incoherent selection of typeface for specific characters
P4,The font selection for some characters is not consistent on [mac] computers.
P4,[mac] Incongruous selection of font for specific characters
P4,[mac] Varying selection of font for specific characters.
P4,"Sometimes, multiple font weights may not be implemented accurately for fonts that offer various weight options."
P4,The proper application of multiple font-weights may not always occur for fonts that offer a range of weights.
P4,"In some cases, the correct font weight may not be applied correctly for fonts that offer multiple options."
P4,"Sometimes, multiple font-weights may not be properly applied to fonts that offer them."
P4,"Sometimes, various font-weights are not properly implemented for fonts with multiple options."
P4,"Sometimes, fonts that have multiple font-weights may not have the correct weight applied when used together."
P5,The Mac OS X Java Plugin (JEP) - LiveConnect is still able to bypass document.domain and establish socket connections at will.
P5,The Mac OS X Java Plugin (JEP) - LiveConnect is still capable of utilizing the document.domain method to generate unrestricted socket connections.
P5,The Java Plugin for Mac OS X (JEP) allows LiveConnect to bypass the document.domain restriction and establish socket connections of any kind.
P5,The LiveConnect feature of the Mac OS X Java Plugin (JEP) is still capable of making random socket connections through the use of a document.domain bypass.
P5,"The Mac OS X Java Plugin (JEP) allows LiveConnect to use a document.domain bypass, which enables the creation of unrestricted socket connections."
P5,"The Mac OS X Java Plugin, also known as JEP, can still utilize the document.domain bypass method to establish unrestricted socket connections through LiveConnect."
P5,"The Java Plugin for Mac OS X (JEP) still has the ability to utilize a document.domain loophole in LiveConnect, allowing for the creation of unrestricted socket connections."
P5,The Mac OS X Java Plugin (JEP) has the ability to use LiveConnect to create random socket connections by bypassing document.domain.
P5,The JEP for Mac OS X Java Plugin - LiveConnect remains capable of bypassing document.domain to establish unrestricted socket connections.
P5,"The Mac OS X Java Plugin, known as JEP, still has the capability to utilize document.domain bypass to establish socket connections without limitations."
P5,The LiveConnect functionality in the Mac OS X Java Plugin (JEP) retains the ability to utilize the document.domain workaround in order to establish socket connections at will.
P5,The Java Plugin for Mac OS X (known as JEP) can still utilize the document.domain bypass in LiveConnect to establish unrestricted socket connections.
P5,The LiveConnect feature of Mac OS X's Java Plugin allows for arbitrary socket connections to be created through a document.domain bypass.
P5,The JEP component of Mac OS X's Java Plugin still has the capability to utilize the document.domain workaround in LiveConnect to establish unrestricted socket connections.
P5,The Mac OS X Java Plugin (JEP) - LiveConnect has the ability to bypass document.domain in order to establish arbitrary socket connections.
P5,"The Mac OS X Java Plugin, also known as JEP, still has the ability to bypass document.domain and establish socket connections."
P5,The Mac OS X Java Plugin (JEP) is still capable of using document.domain bypass in LiveConnect to generate unregulated socket connections.
P5,The LiveConnect feature of Mac OS X Java Plugin (JEP) is still able to employ the document.domain bypass in order to establish socket connections of any kind.
P5,The LiveConnect feature of the Mac OS X Java Plugin (JEP) still allows for the use of a document.domain bypass to establish socket connections at will.
P5,The Mac OS X Java Plugin (JEP) - LiveConnect can still utilize the document.domain bypass to establish unrestricted socket connections.
P3,"[10.4] Filepicker's ""All Files"" option shortened in Save As... dialogue box."
P3,"The ""All Files"" option in the Save As... dialog of [10.4] appears shortened in the file selection menu."
P3,"Quartz's DEST_IN, DEST_ATOP, SRC_IN, and SRC_OUT produce outcomes that differ from pixman."
P3,"Quartz: DEST_IN, DEST_ATOP, SRC_IN, and SRC_OUT produce varying outcomes compared to pixman."
P3,"An error was encountered while using the -moz-column and float features, specifically within nsFrameList's SortByContentOrder function."
P3,"""Collide [@ nsFrameList::SortByContentOrder] due to -moz-column and float"""
P3,Collision at [nsAccessible::InvalidateChildren]'
P3,The event 'Crash [@ nsAccessible::InvalidateChildren ]' occurred.
P3,The reference for the AtkObject in dialogs is not released by nsNativeRootAccessibleWrap.
P3,nsNativeRootAccessibleWrap fails to properly release the reference to AtkObject for dialogs.'
P3,The white-space property is not correctly wrapping newlines when using the -moz-pre-wrap value.
P3,The presence of 'white-space:-moz-pre-wrap' causes line breaks to be incorrectly handled.
P3,"""STATEMENT: exceeding end point while using -moz-column, with direction:rtl"""
P3,"The statement ""ASSERTION: running beyond the end"" is related to -moz-column and direction:rtl."
P4,"""ERROR: Incorrect parent style context"" using -moz-column, relative & absolute positioning"
P4,"""ERROR: Incorrect parent styling context"" using -moz-column, relative & absolute positioning."
P4,"""DECLARATION: Incorrect parent style context"" utilizing the -moz-column, relative and absolute positioning."
P4,"The phrase ""ASSERTION: Wrong parent style context"" is associated with the use of the -moz-column property in conjunction with relative and absolute positioning."
P4,"The statement ""ASSERTION: Incorrect parent style context"" in relation to the use of -moz-column with relative and absolute positioning."
P4,"The statement ""ASSERTION: Incorrect parent style context"" is applicable when using -moz-column, relative and absolute positioning."
P3,Background images are not properly displayed on complex bidirectional text.
P3,Background images are distorted when used with complex bidirectional elements.'
P4,"""CLAIM: The parameter 'scriptminsize' should never result in increasing the size of objects"" using <ms fontsize=""-2%"">"
P4,"""ASSERTION: The scriptminsize should not be increasing the size of objects"" using a <ms fontsize=""-2%"">"
P4,"""CLAIM: It is imperative that scriptminsize does not enlarge items"" using <ms fontsize=""-2%"">"
P4,"Claim: It is inappropriate for 'scriptminsize' to enlarge items, with <ms fontsize=""-2%"">"
P4,"""CLAIM: It is unacceptable for the scriptminsize to enlarge items, while having a font size of -2%."""
P4,"""CLAIM: the parameter scriptminsize should never increase the size of elements"" with <ms fontsize=""-2%"">"
P3,"""Align and declarations with placed elements, key generation and fixed placement"""
P3,"Manipulate and statements using placed elements, code generator and fixed positioning."
P3,"An error occurred in the code and the program crashed while attempting to create a floating first-letter frame for Arabic text. The specific error message was ""ASSERTION: SetMayHaveFrame failed."""
P3,"""Error: Unable to SetMayHaveFrame"" resulted in a crash [@ nsCSSFrameConstructor::CreateFloatingLetterFrame] when dealing with floating first-letter in Arabic text."
P3,"The HTML SELECT feature is currently not displaying the chosen item in the ""selected text"" style on Windows, which is a recent issue."
P3,"The current issue where 'HTML SELECT' fails to display the chosen option in the same style as the ""selected text"" in windows is a recent regression."
P3,"An incident occurred at BuildTextRunsScanner::ScanFrame(nsIFrame*), causing a disruption."
P3,Get the occurrence of an error while executing the method BuildTextRunsScanner::ScanFrame(nsIFrame*).
P3,"Some image decoders do not trigger the 'DecodingComplete' event, meaning that the image does not become 'optimized' for these decoders."
P3,"Some image decoders may not invoke the 'DecodingComplete' function, resulting in the image not being 'optimized.'"
